,Program: Program Name,Partner Status,Billing Street,Billing City,Billing State/Province,Billing Zip/Postal Code,address,latitude,longitude,success
39,Entrepreneurial Leadership,Active,2700 Post Oak Blvd Floor 21,Houston,TX,77056,2700 Post Oak Blvd Floor 21 Houston TX 77056,37.7937635,-122.3925413,False
40,Career Development,Active,2700 Post Oak Blvd Floor 21,Houston,TX,77056,2700 Post Oak Blvd Floor 21 Houston TX 77056,37.7937635,-122.3925413,False
41,Tutorials,Active,2700 Post Oak Blvd Floor 21,Houston,TX,77056,2700 Post Oak Blvd Floor 21 Houston TX 77056,37.7937635,-122.3925413,False
42,"Health, Fitness & Wellness",Active,2700 Post Oak Blvd Floor 21,Houston,TX,77056,2700 Post Oak Blvd Floor 21 Houston TX 77056,37.7937635,-122.3925413,False
43,The Arts,Active,2700 Post Oak Blvd Floor 21,Houston,TX,77056,2700 Post Oak Blvd Floor 21 Houston TX 77056,37.7937635,-122.3925413,False
44,Youth Services- Youth Prevention Universal,Active,7524 Avenue E,Houston,TX,77012,7524 Avenue E Houston TX 77012,29.7348118932521,-95.2905836787996,True
45,Youth Services- Youth Prevention Indicated,Active,7524 Avenue E,Houston,TX,77012,7524 Avenue E Houston TX 77012,29.7348118932521,-95.2905836787996,True
46,Steam Team,Active,1602 Airline Drive,Houston,TX,77009,1602 Airline Drive Houston TX 77009,29.800402,-95.381765,True
47,@THEWAREHOUSE,Active,1602 Airline Drive,Houston,TX,77009,1602 Airline Drive Houston TX 77009,29.800402,-95.381765,True
48,Computer Adoption Program,Active,1602 Airline Drive,Houston,TX,77009,1602 Airline Drive Houston TX 77009,29.800402,-95.381765,True
49,Counseling Services,Active,"610 Murphy Rd. Suite #206 Stafford, Texas 77477",Stafford,TX,77477,"610 Murphy Rd. Suite #206 Stafford, Texas 77477 Stafford TX 77477",37.7937635,-122.3925413,False
50,STAR (Services to At Risk Youth) Program,Active,4950 Memorial Drive,Houston,TX,77007,4950 Memorial Drive Houston TX 77007,29.7625124715724,-95.4108679658869,True
51,Positive Parent Program,Active,4950 Memorial Drive,Houston,TX,77007,4950 Memorial Drive Houston TX 77007,29.7625124715724,-95.4108679658869,True
52,DiscoverU Catalog - FLO Coordinator,Active,P.O. Box 4059,Houston,TX,77210,P.O. Box 4059 Houston TX 77210,37.7937635,-122.3925413,False
53,Juvenile Justice Project,Active,3100 Cleburne St.,Houston,TX,77004,3100 Cleburne St. Houston TX 77004,29.724583,-95.36261,True
54,Embrace Your Future,Active,9494 Southwest Freeway,Houston,TX,77070,9494 Southwest Freeway Houston TX 77070,29.725472,-95.48764,True
55,EMERGE Program,Active,2450 Louisiana St.  Suite 400 #430,Houston,TX,77006,2450 Louisiana St.  Suite 400 #430 Houston TX 77006,37.7937635,-122.3925413,False
56,Mentoring,Active,PO Box 604,Bellaire,TX,77402,PO Box 604 Bellaire TX 77402,37.7937635,-122.3925413,False
57,Youth Political Engagement Program,Active,"4828 Loop Central Drive, Suite 1000",Houston,TX,77081,"4828 Loop Central Drive, Suite 1000 Houston TX 77081",37.7937635,-122.3925413,False
58,Enedsys - 2016-2017,Active,,,TX,,  TX ,31.8160381,-99.5120986,True
59,HD Mentoring,Active,"10750 Hammerly Blvd, Suite 263",Houston,TX,77043,"10750 Hammerly Blvd, Suite 263 Houston TX 77043",37.7937635,-122.3925413,False
60,Individual Counseling,Active,4625 Lillian,Houston,TX,77007,4625 Lillian Houston TX 77007,37.7937635,-122.3925413,False
61,Employment Services,Active,4625 Lillian,Houston,TX,77007,4625 Lillian Houston TX 77007,37.7937635,-122.3925413,False
62,Mentoring Program,Active,"4014 Market Street, Suite W145",Houston,TX,77020,"4014 Market Street, Suite W145 Houston TX 77020",37.7937635,-122.3925413,False
63,Tutorials,Active,"4014 Market Street, Suite W145",Houston,TX,77020,"4014 Market Street, Suite W145 Houston TX 77020",37.7937635,-122.3925413,False
64,Life Skills Program,Active,"4014 Market Street, Suite W145",Houston,TX,77020,"4014 Market Street, Suite W145 Houston TX 77020",37.7937635,-122.3925413,False
65,Entrepreneurial Skills,Active,"4014 Market Street, Suite W145",Houston,TX,77020,"4014 Market Street, Suite W145 Houston TX 77020",37.7937635,-122.3925413,False
66,Teen Enterprise Center,Active,"4014 Market Street, Suite W145",Houston,TX,77020,"4014 Market Street, Suite W145 Houston TX 77020",37.7937635,-122.3925413,False
67,Community Service Projects,Active,"4014 Market Street, Suite W145",Houston,TX,77020,"4014 Market Street, Suite W145 Houston TX 77020",37.7937635,-122.3925413,False
68,Empathy Coaching,Active,"3000 Richmond Ave, Suite 340",Houston,TX,77098,"3000 Richmond Ave, Suite 340 Houston TX 77098",37.7937635,-122.3925413,False
69,FuelEd Empathy Training,Active,"3000 Richmond Ave, Suite 340",Houston,TX,77098,"3000 Richmond Ave, Suite 340 Houston TX 77098",37.7937635,-122.3925413,False
70,One on One Counseling,Active,"3000 Richmond Ave, Suite 340",Houston,TX,77098,"3000 Richmond Ave, Suite 340 Houston TX 77098",37.7937635,-122.3925413,False
71,Genesys Works,Active,"601 Jefferson Ave., Suite 3950",Houston,TX,77002,"601 Jefferson Ave., Suite 3950 Houston TX 77002",37.7937635,-122.3925413,False
72,Girl Scouts of San Jacinto,Active,3110 Southwest Freeway,Houston,TX,77098,3110 Southwest Freeway Houston TX 77098,29.7305923673469,-95.4268764489796,True
73,Power Circles,Active,3000 S. IH 35 Suite 400,Austin,TX,78704,3000 S. IH 35 Suite 400 Austin TX 78704,37.7937635,-122.3925413,False
74,Teen Leadership Circles,Active,"1111 North Loop West, Suite 180",Houston,TX,77008,"1111 North Loop West, Suite 180 Houston TX 77008",37.7937635,-122.3925413,False
75,"Dollars, Sense, and Me",Active,"1111 North Loop West, Suite 180",Houston,TX,77008,"1111 North Loop West, Suite 180 Houston TX 77008",37.7937635,-122.3925413,False
76,Girls Take Another Look,Active,"1111 North Loop West, Suite 180",Houston,TX,77008,"1111 North Loop West, Suite 180 Houston TX 77008",37.7937635,-122.3925413,False
77,Girls Make the Message,Active,"1111 North Loop West, Suite 180",Houston,TX,77008,"1111 North Loop West, Suite 180 Houston TX 77008",37.7937635,-122.3925413,False
78,Action for Safety,Active,"1111 North Loop West, Suite 180",Houston,TX,77008,"1111 North Loop West, Suite 180 Houston TX 77008",37.7937635,-122.3925413,False
79,Living Safe & Strong,Active,"1111 North Loop West, Suite 180",Houston,TX,77008,"1111 North Loop West, Suite 180 Houston TX 77008",37.7937635,-122.3925413,False
80,Taking Care of Business,Active,"1111 North Loop West, Suite 180",Houston,TX,77008,"1111 North Loop West, Suite 180 Houston TX 77008",37.7937635,-122.3925413,False
81,Media and Me,Active,"1111 North Loop West, Suite 180",Houston,TX,77008,"1111 North Loop West, Suite 180 Houston TX 77008",37.7937635,-122.3925413,False
82,Girls Inc - 2016-2017,Active,"1111 North Loop West, Suite 180",Houston,TX,77008,"1111 North Loop West, Suite 180 Houston TX 77008",37.7937635,-122.3925413,False
83,Stand UP!,Active,"1111 North Loop West, Suite 180",Houston,TX,77008,"1111 North Loop West, Suite 180 Houston TX 77008",37.7937635,-122.3925413,False
84,Girls Inc. Operation SMART,Active,"1111 North Loop West, Suite 180",Houston,TX,77008,"1111 North Loop West, Suite 180 Houston TX 77008",37.7937635,-122.3925413,False
85,Girls Get the Message,Active,"1111 North Loop West, Suite 180",Houston,TX,77008,"1111 North Loop West, Suite 180 Houston TX 77008",37.7937635,-122.3925413,False
86,Discovery,Active,"1111 North Loop West, Suite 180",Houston,TX,77008,"1111 North Loop West, Suite 180 Houston TX 77008",37.7937635,-122.3925413,False
87,Know Your Rights,Active,"1111 North Loop West, Suite 180",Houston,TX,77008,"1111 North Loop West, Suite 180 Houston TX 77008",37.7937635,-122.3925413,False
88,She?s on the Money!,Active,"1111 North Loop West, Suite 180",Houston,TX,77008,"1111 North Loop West, Suite 180 Houston TX 77008",37.7937635,-122.3925413,False
89,Growing Together,Active,"1111 North Loop West, Suite 180",Houston,TX,77008,"1111 North Loop West, Suite 180 Houston TX 77008",37.7937635,-122.3925413,False
90,Will Power/Won?t Power,Active,"1111 North Loop West, Suite 180",Houston,TX,77008,"1111 North Loop West, Suite 180 Houston TX 77008",37.7937635,-122.3925413,False
91,Friendly PEERsuasion,Active,"1111 North Loop West, Suite 180",Houston,TX,77008,"1111 North Loop West, Suite 180 Houston TX 77008",37.7937635,-122.3925413,False
92,Growing Up! Body Basics,Active,"1111 North Loop West, Suite 180",Houston,TX,77008,"1111 North Loop West, Suite 180 Houston TX 77008",37.7937635,-122.3925413,False
93,Media Smarts,Active,"1111 North Loop West, Suite 180",Houston,TX,77008,"1111 North Loop West, Suite 180 Houston TX 77008",37.7937635,-122.3925413,False
94,Be BOLD,Active,"1111 North Loop West, Suite 180",Houston,TX,77008,"1111 North Loop West, Suite 180 Houston TX 77008",37.7937635,-122.3925413,False
95,Futures and Options,Active,"1111 North Loop West, Suite 180",Houston,TX,77008,"1111 North Loop West, Suite 180 Houston TX 77008",37.7937635,-122.3925413,False
96,Girls With Purpose Mentoring Program,Active,16903 Red Oak Dr.,Houston,TX,77090,16903 Red Oak Dr. Houston TX 77090,31.407473,-95.575247,True
97,Girls With Purpose,Active,16903 Red Oak Dr.,Houston,TX,77090,16903 Red Oak Dr. Houston TX 77090,31.407473,-95.575247,True
98,Justice of the Peace Court Program,Active,6300 Chimney Rock,Houston,TX,77081,6300 Chimney Rock Houston TX 77081,37.7937635,-122.3925413,False
99,Heritage Keepers Abstinence Education,Active,10800 Scott Street,Houston,TX,77047,10800 Scott Street Houston TX 77047,29.6433066,-95.3682658,True
100,Youth Advisory Council,Active,8000 N. Stadium Drive,Houston,TX,77054,8000 N. Stadium Drive Houston TX 77054,29.693921,-95.407991,True
101,Physicals,Active,8000 N. Stadium Drive,Houston,TX,77054,8000 N. Stadium Drive Houston TX 77054,29.693921,-95.407991,True
102,Counseling,Active,5444 Westheimer Rd. Suite 1000,Houston,TX,77056,5444 Westheimer Rd. Suite 1000 Houston TX 77056,37.7937635,-122.3925413,False
103,Counseling and Student Support,Active,4400 W 18th Street,Houston,TX,77092,4400 W 18th Street Houston TX 77092,29.8015732,-95.4306577,True
104,Individual Student Crisis,Active,1102 Telephone Road,Houston,TX,77023,1102 Telephone Road Houston TX 77023,29.7326069795918,-95.3282100612245,True
105,Medicaid/Chip application assistance,Active,4400 West 18th st,Houston,TX,77092,4400 West 18th st Houston TX 77092,29.8015732,-95.4306577,True
106,Free Resources for Students,Active,"5001 Martin Luther King, Jr. Blvd",Houston,TX,77021,"5001 Martin Luther King, Jr. Blvd Houston TX 77021",37.7937635,-122.3925413,False
107,Transportation Services,Active,"5001 Martin Luther King, Jr. Blvd",Houston,TX,77021,"5001 Martin Luther King, Jr. Blvd Houston TX 77021",37.7937635,-122.3925413,False
108,English as a Second Language,Active,,,TX,,  TX ,31.8160381,-99.5120986,True
109,Immigrant/Newcomer Program,Active,,,TX,,  TX ,31.8160381,-99.5120986,True
110,HISD SEL Counseling,Active,4400 W 18th St.,Houston,TX,77092,4400 W 18th St. Houston TX 77092,29.8015732,-95.4306577,True
111,Sanford Harmony Curriculum,Active,4400 W 18th St.,Houston,TX,77092,4400 W 18th St. Houston TX 77092,29.8015732,-95.4306577,True
112,Dance to Learn,Active,601 Preston,Houston,TX,77002,601 Preston Houston TX 77002,37.7937635,-122.3925413,False
113,Houston Ballet - 2016-2017,Active,601 Preston,Houston,TX,77002,601 Preston Houston TX 77002,37.7937635,-122.3925413,False
114,Ballet Talks,Active,601 Preston,Houston,TX,77002,601 Preston Houston TX 77002,37.7937635,-122.3925413,False
115,Learning from the Masters,Active,601 Preston,Houston,TX,77002,601 Preston Houston TX 77002,37.7937635,-122.3925413,False
116,Chance to Dance,Active,601 Preston,Houston,TX,77002,601 Preston Houston TX 77002,37.7937635,-122.3925413,False
117,Studio Series (Livestream),Active,601 Preston,Houston,TX,77002,601 Preston Houston TX 77002,37.7937635,-122.3925413,False
118,"X³: Explore, Extend, Excel!",Active,601 Preston,Houston,TX,77002,601 Preston Houston TX 77002,37.7937635,-122.3925413,False
119,"Nutrition Classes for Parents, Kids, and Staff",Active,,,TX,,  TX ,31.8160381,-99.5120986,True
120,Backpack Buddies,Active,,,TX,,  TX ,31.8160381,-99.5120986,True
121,Food Pantry Support,Active,,,TX,,  TX ,31.8160381,-99.5120986,True
122,School Market Leadership Program Mobile Truck OR Brick and Mortar,Active,,,TX,,  TX ,31.8160381,-99.5120986,True
123,iChoose...,Active,8000 N Stadium Dr,Houston,TX,77054,8000 N Stadium Dr Houston TX 77054,29.693921,-95.407991,True
124,Teach literacy,Active,611 S Sgt Macario Garcia Dr,Houston,TX,77011,611 S Sgt Macario Garcia Dr Houston TX 77011,37.7937635,-122.3925413,False
125,Restorative Justice Circles,Active,6856 Bellaire Blvd.,Houston,TX,77074,6856 Bellaire Blvd. Houston TX 77074,29.7052448307685,-95.5036888928625,True
126,Mentoring,Active,6856 Bellaire Blvd.,Houston,TX,77074,6856 Bellaire Blvd. Houston TX 77074,29.7052448307685,-95.5036888928625,True
127,YMCA Achievers,Active,5202 Griggs Rd,Houston,TX,77021,5202 Griggs Rd Houston TX 77021,29.7005081,-95.3443034,True
128,Tutoring,Active,4903 Mayfair st.,Bellaire,TX,77401,4903 Mayfair st. Bellaire TX 77401,29.7187737676768,-95.464121030303,True
129,Workshops,Active,4903 Mayfair st.,Bellaire,TX,77401,4903 Mayfair st. Bellaire TX 77401,29.7187737676768,-95.464121030303,True
130,Volunteer Tutors,Active,,,TX,,  TX ,31.8160381,-99.5120986,True
131,Volunteer Mentors,Active,,,TX,,  TX ,31.8160381,-99.5120986,True
132,Classroom teaching and group teaching and discussions,Active,510 S Third,Bellaire,TX,77401,510 S Third Bellaire TX 77401,37.7937635,-122.3925413,False
133,Marshall Mentorship Program,Active,"1001 Louisiana Street, Suite 1000",Houston,TX,77002,"1001 Louisiana Street, Suite 1000 Houston TX 77002",37.7937635,-122.3925413,False
134,Parent English Classes,Active,,,TX,,  TX ,31.8160381,-99.5120986,True
135,1-on-1 Tutoring,Active,"1268 N. Lakeview Ave., Suite 201",Anaheim,TX,92807,"1268 N. Lakeview Ave., Suite 201 Anaheim TX 92807",37.7937635,-122.3925413,False
136,Group Counseling,Active,,,TX,,  TX ,31.8160381,-99.5120986,True
137,Individual Counseling,Active,,,TX,,  TX ,31.8160381,-99.5120986,True
138,Off Site Individual Counseling,Active,,,TX,,  TX ,31.8160381,-99.5120986,True
139,Lemonade Day,Active,,Houston,TX,77033, Houston TX 77033,29.7589382,-95.3676974,True
140,Leadership Lunch,Active,12407 new Hampton,Tomball,TX,77377,12407 new Hampton Tomball TX 77377,37.7937635,-122.3925413,False
141,Legal Services,Active,1415 Fannin  Street,Houston,TX,77002,1415 Fannin  Street Houston TX 77002,29.7527619,-95.3665744858516,True
142,GAP,Active,"5005 Mitchelldale, Ste# 119",Houston,TX,77095,"5005 Mitchelldale, Ste# 119 Houston TX 77095",37.7937635,-122.3925413,False
143,Family Solutions,Active,"5005 Mitchelldale, Ste# 119",Houston,TX,77095,"5005 Mitchelldale, Ste# 119 Houston TX 77095",37.7937635,-122.3925413,False
144,Spiritual Mentor,Active,5922 Hillcroft Street,Houston,TX,77036,5922 Hillcroft Street Houston TX 77036,29.7185277297002,-95.5007497996227,True
145,Mufasa's Pride I,Active,8506 Hidden Hollow Ct.,Missouri City,TX,77459,8506 Hidden Hollow Ct. Missouri City TX 77459,37.7937635,-122.3925413,False
146,My Brother's Keeper- Team UP Houston,Active,8000 N. Stadium Street,Houston,TX,77054,8000 N. Stadium Street Houston TX 77054,37.7937635,-122.3925413,False
147,Circle of Men,Active,8000 N. Stadium Street,Houston,TX,77054,8000 N. Stadium Street Houston TX 77054,37.7937635,-122.3925413,False
148,MBK - Literacy Night,Active,8000 N. Stadium Street,Houston,TX,77054,8000 N. Stadium Street Houston TX 77054,37.7937635,-122.3925413,False
149,Donut Devotion,Active,4315 West Fuqua Street,Houston,TX,77045,4315 West Fuqua Street Houston TX 77045,29.6134612244898,-95.442161755102,True
150,Dynamic Mindfulness Sessions,Active,"111 Fairmount Ave. (main office is in CA, regional PM in Houston)",Oakland,TX,94611,"111 Fairmount Ave. (main office is in CA, regional PM in Houston) Oakland TX 94611",37.7937635,-122.3925413,False
151,Northeast Next Door Development Council,Active,4625 FM2920 #121,"Spring, TX",TX,77388,"4625 FM2920 #121 Spring, TX TX 77388",37.7937635,-122.3925413,False
152,PAIR - After School,Active,,,TX,,  TX ,31.8160381,-99.5120986,True
153,Parents Alliance Educational Program,Active,"15810 Park Ten Place Suite 105 Houston, Texas 77084",Houston,TX,77084,"15810 Park Ten Place Suite 105 Houston, Texas 77084 Houston TX 77084",37.7937635,-122.3925413,False
154,Botvin LifeSkills,Active,501 Garden Oaks Blvd.,Houston,TX,77018,501 Garden Oaks Blvd. Houston TX 77018,29.824826,-95.405876,True
155,Positive Action,Active,501 Garden Oaks Blvd.,Houston,TX,77018,501 Garden Oaks Blvd. Houston TX 77018,29.824826,-95.405876,True
156,Project Towards No Drugs,Active,501 Garden Oaks Blvd.,Houston,TX,77018,501 Garden Oaks Blvd. Houston TX 77018,29.824826,-95.405876,True
157,Get Real High School,Active,4600 Gulf Freeway,Houston,TX,77023,4600 Gulf Freeway Houston TX 77023,29.7266091973078,-95.3337465718803,True
158,Sisters Saving Sisters,Active,4600 Gulf Freeway,Houston,TX,77023,4600 Gulf Freeway Houston TX 77023,29.7266091973078,-95.3337465718803,True
159,Teen Reach,Active,4600 Gulf Freeway,Houston,TX,77023,4600 Gulf Freeway Houston TX 77023,29.7266091973078,-95.3337465718803,True
160,Cafe College,Active,3000 Richmond Ave. #400,Houston,TX,77098,3000 Richmond Ave. #400 Houston TX 77098,37.7937635,-122.3925413,False
161,College Institute Summer Programs,Active,3000 Richmond Ave. #400,Houston,TX,77098,3000 Richmond Ave. #400 Houston TX 77098,37.7937635,-122.3925413,False
162,Counseling,Active,"3007 Caroline St., Houston,",Houston,TX,77004,"3007 Caroline St., Houston, Houston TX 77004",29.7410746530612,-95.3735535102041,True
163,Re-Creating ME! Program,Active,,,TX,,  TX ,31.8160381,-99.5120986,True
164,Interns,Active,"6700 Bellaire Blvd., Room 204",Houston,TX,77074,"6700 Bellaire Blvd., Room 204 Houston TX 77074",37.7937635,-122.3925413,False
165,Support Group,Active,PO Box 27607,Houston,TX,77227,PO Box 27607 Houston TX 77227,37.7937635,-122.3925413,False
166,Survey,Active,,,TX,,  TX ,31.8160381,-99.5120986,True
167,Youth Prevention Services -,Active,2605 Parker Rd.,Houston,TX,77093,2605 Parker Rd. Houston TX 77093,29.8595536063434,-95.3452350820778,True
168,Caring for Two/Prenatal and Postpartum Intervention Program,Active,2605 Parker Rd.,Houston,TX,77093,2605 Parker Rd. Houston TX 77093,29.8595536063434,-95.3452350820778,True
169,The Elite Mind Literacy Course,Active,9403 Sandra Street,Houston,TX,77016,9403 Sandra Street Houston TX 77016,29.8471503691275,-95.3139046040268,True
170,Journey of Hope,Active,2928 greens rd,"Houston, tx",TX,77032,"2928 greens rd Houston, tx TX 77032",29.951281979798,-95.3408281111111,True
171,Sparkle Girl Club,Active,"955 Westcott, #138",Houston,TX,77007,"955 Westcott, #138 Houston TX 77007",37.7937635,-122.3925413,False
172,Homeless Support,Active,2575 Reed Road,Houston,TX,77051,2575 Reed Road Houston TX 77051,29.6577211250019,-95.3876845000108,True
173,Mentorship,Active,15335 East Fondren Cir.,Houston,TX,77071,15335 East Fondren Cir. Houston TX 77071,37.7937635,-122.3925413,False
174,Peer Group Model,Active,11140 Greenbay Street,Houston,TX,77024,11140 Greenbay Street Houston TX 77024,37.7937635,-122.3925413,False
175,TAPS Clubs,Active,TAPS (Teen and Police Service) 2726 Bissonnet #240,Houston,TX,77005,TAPS (Teen and Police Service) 2726 Bissonnet #240 Houston TX 77005,37.7937635,-122.3925413,False
176,TAPS for Non-Credit Class,Active,TAPS (Teen and Police Service) 2726 Bissonnet #240,Houston,TX,77005,TAPS (Teen and Police Service) 2726 Bissonnet #240 Houston TX 77005,37.7937635,-122.3925413,False
177,TAPS For Credit Class,Active,TAPS (Teen and Police Service) 2726 Bissonnet #240,Houston,TX,77005,TAPS (Teen and Police Service) 2726 Bissonnet #240 Houston TX 77005,37.7937635,-122.3925413,False
178,Group Counseling,Active,,,TX,,  TX ,31.8160381,-99.5120986,True
179,Test Individual Counseling,Active,,,TX,,  TX ,31.8160381,-99.5120986,True
180,Wellness Center,Active,6440 Hillcroft Ave. #411,Houston,TX,77081,6440 Hillcroft Ave. #411 Houston TX 77081,37.7937635,-122.3925413,False
181,Wellness Center,Active,6440 Hillcroft Ave. #411,Houston,TX,77081,6440 Hillcroft Ave. #411 Houston TX 77081,37.7937635,-122.3925413,False
182,Kijana Youth Program,Active,6440 Hillcroft Ave. #411,Houston,TX,77081,6440 Hillcroft Ave. #411 Houston TX 77081,37.7937635,-122.3925413,False
183,The Ambassador Initiative - 2016-2017,Active,P.O. Box 925162,Houston,TX,77292,P.O. Box 925162 Houston TX 77292,37.7937635,-122.3925413,False
184,Ambassador Initiative Group,Active,P.O. Box 925162,Houston,TX,77292,P.O. Box 925162 Houston TX 77292,37.7937635,-122.3925413,False
185,Chauncy Glover Project Mentoring/Tutoring,Active,5340 Weslayan St # 272921,Houston,TX,77277-4136,5340 Weslayan St # 272921 Houston TX 77277-4136,37.7937635,-122.3925413,False
